refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_001294,1209,ENSG00000104853,CLPTM1
NM_001304,1362,ENSG00000108582,CPD
NM_001320,1460,ENSG00000230700,CSNK2B
NM_001320,1460,ENSG00000232960,CSNK2B
NM_001320,1460,ENSG00000206406,CSNK2B
NM_001320,1460,ENSG00000224774,CSNK2B
NM_001320,1460,ENSG00000224398,CSNK2B
NM_001320,1460,ENSG00000228875,CSNK2B
NM_001320,1460,ENSG00000204435,CSNK2B
NM_001324,1477,ENSG00000101138,CSTF1
NM_001328,1487,ENSG00000159692,CTBP1
NM_001344,1603,ENSG00000129562,DAD1
NM_001349,1615,ENSG00000115866,DARS1
NM_001350,1616,ENSG00000231617,DAXX
NM_001350,1616,ENSG00000206206,DAXX
NM_001350,1616,ENSG00000206279,DAXX
NM_001350,1616,ENSG00000227046,DAXX
NM_001350,1616,ENSG00000204209,DAXX
NM_001356,1654,ENSG00000215301,DDX3X
NM_001357,1660,ENSG00000135829,DHX9
NM_001358,1665,ENSG00000109606,DHX15
NM_001363,1736,ENSG00000130826,DKC1
NM_001375,1777,ENSG00000105612,DNASE2
NM_001382,1798,ENSG00000172269,DPAGT1
NM_001383,1801,ENSG00000108963,DPH1
NM_001384,1802,ENSG00000132768,DPH2
NM_001388,1819,ENSG00000108591,DRG2
NM_001398,1891,ENSG00000282853,ECH1
NM_001398,1891,ENSG00000104823,ECH1
NM_001416,1973,ENSG00000161960,EIF4A1
NM_001418,1982,ENSG00000110321,EIF4G2
NM_001419,1994,ENSG00000066044,ELAVL1
NM_001440,2137,ENSG00000012232,EXTL3
NM_001469,2547,ENSG00000196419,XRCC6
NM_001487,2647,ENSG00000135441,BLOC1S1
NM_001494,2665,ENSG00000057608,GDI2
NM_001498,2729,ENSG00000001084,GCLC
NM_001499,2733,ENSG00000119392,GLE1
NM_001514,2959,ENSG00000137947,GTF2B
NM_001517,2968,ENSG00000226384,GTF2H4
NM_001517,2968,ENSG00000234370,GTF2H4
NM_001517,2968,ENSG00000233149,GTF2H4
NM_001517,2968,ENSG00000236895,GTF2H4
NM_001517,2968,ENSG00000221974,GTF2H4
NM_001517,2968,ENSG00000213780,GTF2H4
NM_001518,2969,ENSG00000263001,GTF2I
NM_001519,2972,ENSG00000185024,BRF1
NM_001520,2975,ENSG00000077235,GTF3C1
NM_001521,2976,ENSG00000115207,GTF3C2
NM_001527,3066,ENSG00000196591,HDAC2
NM_001533,3191,ENSG00000282947,HNRNPL
NM_001533,3191,ENSG00000104824,HNRNPL
NM_001537,3281,ENSG00000230989,HSBP1
NM_001543,3340,ENSG00000070614,NDST1
NM_001545,3396,ENSG00000167862,MRPL58
NM_001550,3475,ENSG00000006652,IFRD1
NM_001560,3597,ENSG00000131724,IL13RA1
NM_001568,3646,ENSG00000104408,EIF3E
NM_001569,3654,ENSG00000184216,IRAK1
NM_001605,16,ENSG00000090861,AARS1
