refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_001884,1404,ENSG00000145681,HAPLN1
,165082,ENSG00000173567,ADGRF3
NM_004385,1462,ENSG00000038427,VCAN
NM_016540,10888,ENSG00000123901,GPR83
NM_022122,64066,ENSG00000137675,MMP27
,130733,ENSG00000152154,TMEM178A
NM_002381,4148,ENSG00000132031,MATN3
NM_001291927,50507,ENSG00000086991,NOX4
NM_016307,51450,ENSG00000167157,PRRX2
NM_002990,6367,ENSG00000102962,CCL22
,284110,ENSG00000167914,GSDMA
,5322,ENSG00000127472,PLA2G5
,79611,ENSG00000111058,ACSS3
,10609,ENSG00000141696,P3H4
NM_002612,5166,ENSG00000004799,PDK4
NM_173086,286887,ENSG00000170465,KRT6C
NM_021076,4744,ENSG00000100285,NEFH
NM_138636,51311,ENSG00000101916,TLR8
NM_018398,55799,ENSG00000157445,CACNA2D3
,761,ENSG00000164879,CA3
,92291,ENSG00000162949,CAPN13
,4037,ENSG00000130881,LRP3
NM_004132,3026,ENSG00000148702,HABP2
,83660,ENSG00000171914,TLN2
NM_206943,4052,ENSG00000049323,LTBP1
,948,ENSG00000135218,CD36
NM_002275,3866,ENSG00000171346,KRT15
,3489,ENSG00000167779,IGFBP6
,57611,ENSG00000167178,ISLR2
,10998,ENSG00000083807,SLC27A5
NM_002276,3880,ENSG00000171345,KRT19
