Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1457500_at,27.1857794,30.2361548,-0.899114969473565,0.284675650872179,Depdc5,277854
1434232_a_at,166.242034,184.893818,-0.899121646133134,0.161939841729844,Vma21,67048
1453708_a_at,10.8443776,12.060946,-0.899131593823569,0.166039782495371,Gsto2,68214
1438939_x_at,10.1542226,8.9158416,-1.13889670269602,0.003204806639573,Ndn,17984
1442539_at,8.53142332,9.4880628,-0.899174415245228,0.072617065822785,,
1432715_at,9.435439,10.4933646,-0.899181469402102,0.08754293481325,Lrrn1,16979
1454521_at,18.4453586,20.5131762,-0.899195639922403,0.117517862846951,2810421E14Rik,72740
1453812_at,8.8506642,7.77130046,-1.13889100615214,0.012303416719468,Jakmip2,76217
1432517_a_at,72.3927548,80.5067336,-0.899213662793543,0.583783500380887,Nnmt,18113
1441846_x_at,10.2731008,11.4244394,-0.899221435758152,0.05146084737078,Tmed3,66111
1446360_at,12.578511,13.9877741,-0.899250367504863,0.111135387731106,,
1437599_at,15.5291374,17.2688538,-0.899256984849799,0.371329934226831,,
1419624_a_at,18.7607432,20.861665,-0.899292707461269,0.20435604630508,1700010I14Rik,66931
1452866_at,1049.91184,1167.47786,-0.899299143882694,0.067039449982903,Nars,70223
1457915_at,117.963144,131.170246,-0.899313278714138,0.496244331723925,4833442J19Rik,320204
1438805_at,26.6440416,29.6266536,-0.899326733276417,0.235535009745817,Ccnd3,12445
1416046_a_at,321.668544,357.67315,-0.899336570273726,0.122847623625984,Fuca2,66848
1451530_at,16.3725214,18.2050956,-0.899337293235637,0.052659805792112,Egfr,13649
1448657_a_at,354.56757,394.251826,-0.899342873303521,0.094492273368606,Dnajb2,56812
1446284_at,25.8802052,28.7754838,-0.899383842853061,0.33234387749386,Mtss1,211401
1436678_at,13.3776122,14.8739376,-0.899399510725391,0.105822017191342,Sgcb,24051
1452692_a_at,1616.70998,1419.58158,-1.13886373476331,0.024778195949821,Ndufv2,72900
1457310_x_at,12.6247064,14.036413,-0.899425401632169,0.132309334126302,Scrt2,545474
1442101_at,25.5107846,28.3629094,-0.899441740627638,0.28952155850637,Elfn1,243312
1435429_x_at,2450.75308,2724.6803,-0.899464454600417,0.175548198182281,Rps27l,67941
1459388_at,9.4826849,10.542566,-0.899466496107305,0.098272132417917,,
1418518_at,176.724716,196.47378,-0.899482444934892,0.136048954911481,Furin,18550
1430909_at,38.3231028,42.6051106,-0.899495442220493,0.246354129127316,Nup210l,77595
1450071_at,370.065778,411.409016,-0.899508186762733,0.090006172682782,Ash1l,192195
1425972_a_at,164.109396,182.443356,-0.899508754925556,0.18659036458048,Zfx,22764
1438579_at,127.279654,141.4970232,-0.899521778773364,0.374206765975673,Utp14b,195434
1446342_at,17.6274494,19.5958132,-0.899551818548668,0.380824390169095,2310001H17Rik,76432
1444134_at,18.596195,20.672169,-0.899576382139678,0.221659100528242,Abl1,11350
1418331_at,284.679234,316.45705,-0.899582531025932,0.088053845030485,1110031I02Rik,66179
1439769_at,13.7679934,15.3047922,-0.899587084887046,0.210973804287934,LOC100504779,100504779
1436447_at,31.3922298,34.8960216,-0.899593373704239,0.380616598436169,A630026N12Rik,320961
1456533_at,100.1380442,111.3143288,-0.899597071459861,0.27117105864511,Dpy19l1,244745
1442743_at,29.9361176,33.2755662,-0.899642621257636,0.179259428004069,Trip4,56404
1459827_x_at,608.611506,534.421228,-1.13882359852667,0.039778516654482,Hps1,192236
1430624_at,8.9813373,9.9830798,-0.899655965887401,0.344549890709179,4921511M17Rik///Gm10057///Gm15140///Gm15143///Gm16445///Gm5645///Gm5646///Gm5947///Samt1,100040020///434874///434879///546397///625650///625713///635580///667256///78092
1416183_a_at,2798.52086,2457.46114,-1.13878539702972,0.004641576165977,Ldhb,16832
1441372_at,15.6130672,17.35259,-0.899754284518911,0.053645780160125,5930405F01Rik,320550
1422274_at,20.3372352,17.8594948,-1.13873518975464,0.02302605479895,Gja8,14616
1455749_x_at,334.703034,371.989696,-0.899764261212225,0.322739126582573,Ndufa7,66416
1426672_at,157.038708,174.532136,-0.89976958741856,0.138728717918003,Ano10,102566
1433024_at,10.363067,11.5174664,-0.899769675038948,0.190145196504976,4930421C12Rik,78788
1450910_at,20.7297498,23.0380988,-0.899802973325212,0.222922537313463,Cap2,67252
1441639_at,16.3330522,14.3437726,-1.13868594096368,0.049323462921704,Zcchc8,70650
1447177_at,13.7829262,15.3175176,-0.899814614869449,0.283890073999136,,
1459240_at,43.7507906,48.6216558,-0.899821075200816,0.188539793192997,,
1424590_at,124.029526,137.836766,-0.899829048513805,0.30986650461786,Ddx19b,234733
1457249_at,11.9115391,13.2375176,-0.899831785681629,0.260220225602924,Ubap2l,74383
1455667_at,53.9987544,60.0091272,-0.899842355980808,0.075725455417654,Preb,50907
